Id,Date,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Day of week,Activity level
1503960366,3/25/2016,11004,7.11,7.11,0.00,2.57,0.46,4.07,0.00,33,12,205,804,1819,Friday,High
1503960366,3/26/2016,17609,11.55,11.55,0.00,6.92,0.73,3.91,0.00,89,17,274,588,2154,Saturday,High
1503960366,3/27/2016,12736,8.53,8.53,0.00,4.66,0.16,3.71,0.00,56,5,268,605,1944,Sunday,High
1503960366,3/28/2016,13231,8.93,8.93,0.00,3.19,0.79,4.95,0.00,39,20,224,1080,1932,Monday,High
1503960366,3/29/2016,12041,7.85,7.85,0.00,2.16,1.09,4.61,0.00,28,28,243,763,1886,Tuesday,High
1503960366,3/30/2016,10970,7.16,7.16,0.00,2.36,0.51,4.29,0.00,30,13,223,1174,1820,Wednesday,High
1503960366,3/31/2016,12256,7.86,7.86,0.00,2.29,0.49,5.04,0.00,33,12,239,820,1889,Thursday,High
1503960366,1/04/2016,12262,7.87,7.87,0.00,3.32,0.83,3.64,0.00,47,21,200,866,1868,Monday,High
1503960366,2/04/2016,11248,7.25,7.25,0.00,3.00,0.45,3.74,0.00,40,11,244,636,1843,Thursday,High
1503960366,3/04/2016,10016,6.37,6.37,0.00,0.91,1.28,4.18,0.00,15,30,314,655,1850,Friday,High
1503960366,4/04/2016,14557,9.80,9.80,0.00,3.39,0.70,5.69,0.00,43,18,285,757,2030,Monday,High
1503960366,5/04/2016,14844,9.73,9.73,0.00,2.94,0.76,6.04,0.00,36,18,341,736,2083,Wednesday,High
1503960366,6/04/2016,11974,7.67,7.67,0.00,2.04,0.48,5.15,0.00,27,12,228,1173,1861,Saturday,High
1503960366,7/04/2016,10198,6.44,6.44,0.00,1.20,0.79,4.45,0.00,17,20,195,1208,1755,Monday,High
1503960366,8/04/2016,12521,7.94,7.94,0.00,3.31,0.90,3.74,0.00,46,22,212,1160,1895,Thursday,High
1503960366,9/04/2016,12432,8.10,8.10,0.00,2.59,0.59,4.92,0.00,32,15,248,738,1883,Sunday,High
1503960366,10/04/2016,10057,6.98,6.98,0.00,4.00,0.49,2.48,0.00,44,13,168,737,1755,Tuesday,High
1503960366,11/04/2016,10990,7.26,7.26,0.00,2.04,0.57,4.65,0.00,26,14,216,855,1811,Friday,High
1503960366,12/04/2016,224,0.14,0.14,0.00,0.00,0.00,0.13,0.00,0,0,9,32,50,Sunday,Low
1624580081,3/25/2016,1810,1.18,1.18,0.00,0.00,0.00,1.13,0.01,0,0,121,1319,1373,Friday,Low
1624580081,3/26/2016,815,0.53,0.53,0.00,0.00,0.00,0.53,0.00,0,0,47,1393,1264,Saturday,Low
1624580081,3/27/2016,1985,1.29,1.29,0.00,0.00,0.00,1.28,0.01,0,0,112,1328,1350,Sunday,Low
1624580081,3/28/2016,1905,1.24,1.24,0.00,0.00,0.00,1.24,0.00,0,0,95,1345,1342,Monday,Low
1624580081,3/29/2016,1552,1.01,1.01,0.00,0.00,0.00,1.00,0.00,0,0,66,1374,1300,Tuesday,Low
1624580081,3/30/2016,1675,1.09,1.09,0.00,0.00,0.00,1.09,0.00,0,0,84,1356,1313,Wednesday,Low
1624580081,3/31/2016,4506,2.93,2.93,0.00,0.51,0.27,2.15,0.01,7,4,144,1285,1498,Thursday,Low
1624580081,1/04/2016,9218,5.99,5.99,0.00,0.00,0.00,5.97,0.01,0,0,221,1219,1541,Monday,Moderate
1624580081,2/04/2016,1556,1.01,1.01,0.00,0.00,0.00,1.01,0.01,0,0,88,1352,1327,Thursday,Low
1624580081,3/04/2016,2910,1.89,1.89,0.00,0.00,0.00,1.88,0.01,0,0,157,1283,1452,Friday,Low
1624580081,4/04/2016,18464,12.00,12.00,0.00,0.00,0.00,12.00,0.00,0,0,270,1170,1574,Monday,High
1624580081,5/04/2016,1335,0.87,0.87,0.00,0.00,0.00,0.87,0.00,0,0,74,1366,1308,Wednesday,Low
1624580081,6/04/2016,1004,0.65,0.65,0.00,0.00,0.00,0.65,0.00,0,0,55,1385,1276,Saturday,Low
1624580081,7/04/2016,1111,0.72,0.72,0.00,0.00,0.00,0.72,0.00,0,0,54,1386,1278,Monday,Low
1624580081,8/04/2016,6344,4.12,4.12,0.00,0.00,0.00,4.10,0.00,0,0,143,1297,1409,Thursday,Moderate
1624580081,9/04/2016,3572,2.32,2.32,0.00,0.00,0.00,2.29,0.03,0,0,122,1318,1370,Sunday,Low
1624580081,10/04/2016,3910,2.54,2.54,0.00,0.47,0.25,1.81,0.01,7,7,186,1240,1555,Tuesday,Low
1624580081,11/04/2016,10000,6.50,6.50,0.00,0.00,0.00,6.50,0.00,0,0,172,1268,1469,Friday,High
1624580081,12/04/2016,6627,4.31,4.31,0.00,0.00,0.00,4.31,0.00,0,0,89,604,706,Sunday,Moderate
1644430081,1/04/2016,4636,3.41,3.41,0.00,0.00,0.78,2.60,0.03,0,16,586,838,3323,Monday,Low
1644430081,2/04/2016,20237,14.71,14.71,0.00,2.57,6.40,5.73,0.01,34,141,347,918,4029,Thursday,High
1644430081,3/04/2016,12912,9.41,9.41,0.00,4.83,0.77,3.79,0.03,59,16,283,1082,3436,Friday,High
1644430081,4/04/2016,2819,2.05,2.05,0.00,0.31,0.17,1.56,0.01,4,4,87,1345,2444,Monday,Low
1644430081,5/04/2016,9921,7.21,7.21,0.00,0.34,1.52,5.36,0.00,5,35,219,1181,3098,Wednesday,Moderate
1644430081,6/04/2016,8046,5.85,5.85,0.00,1.29,2.12,2.45,0.00,18,41,137,1244,2925,Saturday,Moderate
1644430081,7/04/2016,11166,8.12,8.12,0.00,0.21,2.41,5.50,0.00,3,58,230,1149,3202,Monday,High
1644430081,8/04/2016,7842,5.70,5.70,0.00,0.48,2.41,2.81,0.00,7,43,161,1229,2928,Thursday,Moderate
1644430081,9/04/2016,13840,10.06,10.06,0.00,1.31,3.72,5.03,0.00,18,81,192,1149,3290,Sunday,High
1644430081,10/04/2016,1329,0.97,0.97,0.00,0.00,0.00,0.97,0.00,0,0,35,207,489,Tuesday,Low
1844505072,1/04/2016,6847,4.53,4.53,0.00,0.61,0.37,3.55,0.00,9,9,251,1171,1969,Monday,Moderate
1844505072,2/04/2016,5367,3.55,3.55,0.00,0.00,0.00,3.55,0.00,0,0,263,1177,1889,Thursday,Moderate
1844505072,3/04/2016,2841,1.88,1.88,0.00,0.00,0.00,1.88,0.00,0,0,136,1114,1636,Friday,Low
1844505072,4/04/2016,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,669,1347,Monday,Low
1844505072,5/04/2016,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1347,Wednesday,Low
1844505072,6/04/2016,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1,1439,1349,Saturday,Low
1844505072,7/04/2016,6344,4.19,4.19,0.00,0.00,0.00,4.19,0.00,0,0,290,1150,1965,Monday,Moderate
1844505072,8/04/2016,5316,3.51,3.51,0.00,0.00,0.00,3.51,0.00,0,0,221,1219,1824,Thursday,Moderate
1844505072,9/04/2016,4979,3.29,3.29,0.00,0.00,0.00,3.29,0.00,0,0,184,620,1807,Sunday,Low
1844505072,10/04/2016,6556,4.34,4.34,0.00,0.00,0.00,4.33,0.00,0,0,305,810,1971,Tuesday,Moderate
1844505072,11/04/2016,5430,3.59,3.59,0.00,0.00,0.00,3.59,0.00,0,0,251,1189,1888,Friday,Moderate
1844505072,12/04/2016,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,426,399,Sunday,Low
1927972279,1/04/2016,4317,2.99,2.99,0.00,0.00,0.37,2.62,0.00,0,11,192,854,2590,Monday,Low
1927972279,2/04/2016,5662,3.92,3.92,0.00,0.00,0.00,3.92,0.00,0,0,267,858,2783,Thursday,Moderate
1927972279,3/04/2016,3198,2.21,2.21,0.00,0.00,0.00,2.21,0.00,0,0,146,1183,2449,Friday,Low
1927972279,4/04/2016,2352,1.63,1.63,0.00,0.00,0.00,1.63,0.00,0,0,128,829,2380,Monday,Low
1927972279,5/04/2016,2234,1.55,1.55,0.00,0.00,0.00,1.55,0.00,0,0,108,912,2344,Wednesday,Low
1927972279,6/04/2016,1259,0.87,0.87,0.00,0.00,0.00,0.87,0.00,0,0,73,938,2202,Saturday,Low
1927972279,7/04/2016,768,0.53,0.53,0.00,0.00,0.00,0.53,0.00,0,0,43,1397,2130,Monday,Low
1927972279,8/04/2016,519,0.36,0.36,0.00,0.00,0.00,0.36,0.00,0,0,34,1406,2088,Thursday,Low
1927972279,9/04/2016,2523,1.75,1.75,0.00,0.00,0.37,1.38,0.00,0,9,134,1250,2443,Sunday,Low
1927972279,10/04/2016,2105,1.46,1.46,0.00,0.00,0.00,1.46,0.00,0,0,139,805,2442,Tuesday,Low
1927972279,11/04/2016,1209,0.84,0.84,0.00,0.00,0.00,0.84,0.00,0,0,73,842,2255,Friday,Low
1927972279,12/04/2016,24,0.02,0.02,0.00,0.00,0.00,0.02,0.00,0,0,3,161,942,Sunday,Low
2022484408,1/04/2016,13603,9.60,9.60,0.00,5.46,0.63,3.51,0.00,72,16,213,1139,2645,Monday,High
2022484408,2/04/2016,5477,3.84,3.84,0.00,0.00,0.00,3.84,0.00,0,0,237,1203,2040,Thursday,Moderate
2022484408,3/04/2016,11144,7.82,7.82,0.00,1.79,0.89,5.14,0.00,25,22,279,1114,2395,Friday,High
2022484408,4/04/2016,15313,11.00,11.00,0.00,5.02,1.29,4.69,0.00,62,19,233,1126,2581,Monday,High
2022484408,5/04/2016,10805,7.59,7.59,0.00,0.72,0.98,5.89,0.00,36,37,298,1069,2735,Wednesday,High
2022484408,6/04/2016,15392,10.93,10.93,0.00,3.43,1.75,5.75,0.00,47,42,258,1093,2733,Saturday,High
2022484408,7/04/2016,18247,13.83,13.83,0.00,7.11,2.21,4.51,0.00,72,62,252,1054,3021,Monday,High
2022484408,8/04/2016,13023,9.26,9.26,0.00,3.23,0.56,5.47,0.00,40,12,296,1092,2577,Thursday,High
2022484408,9/04/2016,16267,12.59,12.59,0.00,5.75,0.47,6.37,0.00,44,16,302,1078,2811,Sunday,High
2022484408,10/04/2016,10005,7.02,7.02,0.00,0.08,1.05,5.90,0.00,1,23,339,1077,2458,Tuesday,High
2022484408,11/04/2016,10106,7.09,7.09,0.00,1.21,0.56,5.33,0.00,41,16,272,1111,2568,Friday,High
2022484408,12/04/2016,6717,4.72,4.72,0.00,3.23,0.22,1.27,0.00,41,5,67,551,1140,Sunday,Moderate
2026352035,1/04/2016,2605,1.62,1.62,0.00,0.00,0.00,1.62,0.00,0,0,166,729,1407,Monday,Low
2026352035,2/04/2016,1229,0.76,0.76,0.00,0.00,0.00,0.76,0.00,0,0,69,795,1237,Thursday,Low
2026352035,3/04/2016,2308,1.43,1.43,0.00,0.00,0.00,1.43,0.00,0,0,115,720,1330,Friday,Low
2026352035,4/04/2016,6679,4.14,4.14,0.00,0.00,0.00,4.14,0.00,0,0,263,644,1583,Monday,Moderate
2026352035,5/04/2016,5645,3.50,3.50,0.00,0.00,0.00,3.50,0.00,0,0,248,621,1538,Wednesday,Moderate
2026352035,6/04/2016,3180,1.97,1.97,0.00,0.00,0.00,1.97,0.00,0,0,185,738,1421,Saturday,Low
2026352035,7/04/2016,2767,1.72,1.72,0.00,0.00,0.00,1.72,0.00,0,0,170,673,1392,Monday,Low
2026352035,8/04/2016,3762,2.33,2.33,0.00,0.00,0.00,2.33,0.00,0,0,173,719,1425,Thursday,Low
2026352035,9/04/2016,3098,1.92,1.92,0.00,0.00,0.00,1.92,0.00,0,0,185,700,1413,Sunday,Low
2026352035,10/04/2016,5142,3.19,3.19,0.00,0.00,0.00,3.19,0.00,0,0,230,654,1515,Tuesday,Moderate
2026352035,11/04/2016,3279,2.03,2.03,0.00,0.00,0.00,2.03,0.00,0,0,164,694,1405,Friday,Low
2026352035,12/04/2016,1019,0.63,0.63,0.00,0.00,0.00,0.63,0.00,0,0,64,223,600,Sunday,Low
2320127002,1/04/2016,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1324,Monday,Low
2320127002,2/04/2016,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1324,Thursday,Low
2320127002,3/04/2016,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1324,Friday,Low
2320127002,4/04/2016,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,1440,1324,Monday,Low
2320127002,5/04/2016,4931,3.32,3.32,0.00,0.00,0.00,3.32,0.00,0,0,175,1265,1708,Wednesday,Low
2320127002,6/04/2016,6999,4.72,4.72,0.00,0.00,0.00,4.72,0.00,0,0,320,1120,1950,Saturday,Moderate
2320127002,7/04/2016,1846,1.24,1.24,0.00,0.00,0.00,1.24,0.00,0,0,93,1347,1508,Monday,Low
2320127002,8/04/2016,3417,2.30,2.30,0.00,0.00,0.00,2.30,0.00,0,0,153,1287,1625,Thursday,Low
